title,type,release_year,country,tmdb_id,tmdb_title,tmdb_popularity,tmdb_vote_average,tomatometer_score,audience_score,hype_gap,release_date,rt_title,rt_year
Dick Johnson Is Dead,Movie,2020,United States,653574.0,Dick Johnson Is Dead,1.062,7.1,,,,2020-01-23,,
Blood & Water,TV Show,2021,South Africa,103411.0,Blood & Water,2.7927,7.8,,,,2020-05-20,,
Ganglands,TV Show,2021,Unknown,130523.0,Ganglands,3.3526,7.138,,,,2021-09-24,,
Jailbirds New Orleans,TV Show,2021,Unknown,134678.0,Jailbirds New Orleans,0.0828,5.6,,,,2021-09-24,,
Kota Factory,TV Show,2021,India,89113.0,Kota Factory,2.963,8.022,,,,2019-04-16,,
Midnight Mass,TV Show,2021,Unknown,97400.0,Midnight Mass,7.3223,7.53,,,,2021-09-24,,
My Little Pony: A New Generation,Movie,2021,Unknown,597316.0,My Little Pony: A New Generation,2.1496,7.7,,,,2021-09-22,,
Sankofa,Movie,1993,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",68351.0,Sankofa,0.4608,5.8,,,,1993-05-28,,
The Great British Baking Show,TV Show,2021,United Kingdom,34549.0,The Great British Bake Off,5.4558,7.515,,,,2010-08-17,,
The Starling,Movie,2021,United States,468225.0,The Starling,2.7974,6.915,,,,2021-09-17,,
"Vendetta: Truth, Lies and The Mafia",TV Show,2021,Unknown,132013.0,"Vendetta: Truth, Lies and The Mafia",0.2157,6.9,,,,2021-09-24,,
Bangkok Breaking,TV Show,2021,Unknown,132158.0,Bangkok Breaking,1.7592,6.7,,,,2021-09-23,,
Je Suis Karl,Movie,2021,"Germany, Czech Republic",683641.0,Je suis Karl,1.3159,5.3,,,,2021-09-16,,
Confessions of an Invisible Girl,Movie,2021,Unknown,786705.0,Confessions of an Invisible Girl,0.9735,6.628,,,,2021-09-22,,
Crime Stories: India Detectives,TV Show,2021,Unknown,132583.0,Crime Stories: India Detectives,0.7864,6.6,,,,2021-09-22,,
Dear White People,TV Show,2021,United States,70767.0,Dear White People,6.7512,5.9,,,,2017-04-28,,
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,Unknown,683398.0,The Most Dangerous Man in Europe: Otto Skorzeny's After War,0.5974,6.7,,,,2020-01-29,,
Falsa identidad,TV Show,2020,Mexico,82809.0,False Identity,6.8634,7.572,,,,2018-10-03,,
Intrusion,Movie,2021,Unknown,785752.0,Intrusion,3.7469,5.949,,,,2021-09-22,,
Jaguar,TV Show,2021,Unknown,127425.0,Jaguar,1.3777,7.114,,,,2021-09-22,,
Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,Unknown,132105.0,Monsters Inside: The 24 Faces of Billy Milligan,1.2842,6.975,,,,2021-09-22,,
Resurrection: Ertugrul,TV Show,2018,Turkey,66017.0,Resurrection: Ertugrul,7.0005,7.85,,,,2014-12-11,,
Avvai Shanmughi,Movie,1996,Unknown,,,,,,,,,,
Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,Unknown,876576.0,Go! Go! Cory Carson: Chrissy Takes the Wheel,0.6024,5.9,,,,2021-09-21,,
Jeans,Movie,1998,India,393295.0,Jeans,0.0875,0.0,,,,2001-06-24,,
Love on the Spectrum,TV Show,2021,Australia,200731.0,Love on the Spectrum,3.7012,7.852,,,,2022-05-18,,
Minsara Kanavu,Movie,1997,Unknown,79328.0,Minsara Kanavu,0.6604,6.7,,,,1997-01-14,,
Grown Ups,Movie,2010,United States,38365.0,Grown Ups,14.7723,6.397,,,,2010-06-24,,
Dark Skies,Movie,2013,United States,145135.0,Dark Skies,2.5066,6.338,,,,2013-02-21,,
Paranoia,Movie,2013,"United States, India, France",115348.0,Paranoia,2.4741,5.728,,,,2013-08-14,,
Ankahi Kahaniya,Movie,2021,Unknown,862701.0,Ankahi Kahaniya,0.9947,5.8,,,,2021-09-17,,
Chicago Party Aunt,TV Show,2021,Unknown,130077.0,Chicago Party Aunt,2.2411,6.0,,,,2021-09-17,,
Sex Education,TV Show,2020,United Kingdom,81356.0,Sex Education,28.6017,8.21,,,,2019-01-11,,
Squid Game,TV Show,2021,Unknown,93405.0,Squid Game,54.8161,7.855,,,,2021-09-17,,
Tayo and Little Wizards,TV Show,2020,Unknown,130673.0,Tayo and Little Wizards,0.4356,1.0,,,,2020-12-10,,
The Father Who Moves Mountains,Movie,2021,Unknown,840427.0,The Father Who Moves Mountains,1.2332,5.8,,,,2021-07-23,,
The Stronghold,Movie,2021,Unknown,637534.0,The Stronghold,3.9552,7.368,,,,2021-08-18,,
Angry Birds,TV Show,2018,Finland,46848.0,Angry Birds Toons,3.4491,6.5,,,,2013-03-16,,
Birth of the Dragon,Movie,2017,"China, Canada, United States",408266.0,Birth of the Dragon,3.5847,5.806,,,,2017-08-25,,
Chhota Bheem,TV Show,2021,India,32035.0,Little Bheem,1.0902,6.375,,,,2008-12-31,,
He-Man and the Masters of the Universe,TV Show,2021,United States,931.0,He-Man and the Masters of the Universe,13.2545,7.318,,,,1983-09-05,,
Jaws,Movie,1975,United States,578.0,Jaws,12.5447,7.681,,,,1975-06-20,,
Jaws 2,Movie,1978,United States,579.0,Jaws 2,5.2836,6.037,,,,1978-06-16,,
Jaws 3,Movie,1983,United States,17692.0,Jaws 3-D,4.0498,4.473,,,,1983-07-22,,
Jaws: The Revenge,Movie,1987,United States,580.0,Jaws: The Revenge,3.1951,4.1,,,,1987-07-17,,
My Heroes Were Cowboys,Movie,2021,Unknown,866529.0,My Heroes Were Cowboys,0.3192,6.4,,,,2021-09-16,,
Safe House,Movie,2012,"South Africa, United States, Japan",59961.0,Safe House,5.3034,6.489,,,,2012-02-08,,
The Smart Money Woman,TV Show,2020,Unknown,133762.0,The Smart Money Woman,0.1629,2.0,,,,2020-11-30,,
Training Day,Movie,2001,United States,2034.0,Training Day,5.9554,7.517,,,,2001-10-05,,
Castle and Castle,TV Show,2021,Nigeria,83709.0,Castle and Castle,0.5611,6.2,,,,2018-06-21,,
Dharmakshetra,TV Show,2014,India,104975.0,Dharmakshetra,0.1301,6.0,,,,2014-11-19,,
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,Japan,22537.0,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2.6382,7.667,,,,2002-12-22,,
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,Japan,34295.0,Inuyasha the Movie 3: Swords of an Honorable Ruler,3.0654,7.7,,,,2003-12-20,,
InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,Japan,34297.0,Inuyasha the Movie 4: Fire on the Mystic Island,2.9923,7.5,,,,2004-12-23,,
InuYasha the Movie: Affections Touching Across Time,Movie,2001,Japan,42360.0,Inuyasha the Movie: Affections Touching Across Time,3.0596,7.546,,,,2001-12-15,,
Nailed It,TV Show,2021,United States,77791.0,Nailed It!,6.0751,7.1,,,,2018-03-09,,
Naruto Shippuden the Movie: Blood Prison,Movie,2011,Japan,75624.0,Naruto Shippuden the Movie: Blood Prison,5.1828,7.249,,,,2011-07-30,,
Naruto Shippûden the Movie: Bonds,Movie,2008,Japan,17581.0,Naruto Shippuden the Movie: Bonds,5.1072,7.328,,,,2008-08-02,,
Naruto Shippûden the Movie: The Will of Fire,Movie,2009,Japan,36728.0,Naruto Shippuden the Movie: The Will of Fire,5.1885,7.371,,,,2009-08-01,,
Naruto Shippuden: The Movie,Movie,2007,Japan,20982.0,Naruto Shippuden the Movie,4.1642,7.403,,,,2007-08-04,,
Naruto Shippuden: The Movie: The Lost Tower,Movie,2010,Japan,50723.0,Naruto Shippuden the Movie: The Lost Tower,4.811,7.169,,,,2010-07-31,,
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2005,Japan,16910.0,Naruto the Movie: Legend of the Stone of Gelel,3.266,6.789,,,,2005-08-06,,
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,2006,Japan,18861.0,Naruto the Movie: Guardians of the Crescent Moon Kingdom,4.6294,7.114,,,,2006-08-05,,
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,2004,Japan,16907.0,Naruto the Movie: Ninja Clash in the Land of Snow,3.9665,7.292,,,,2004-08-21,,
Nightbooks,Movie,2021,Unknown,739990.0,Nightbooks,5.1391,6.1,,,,2021-09-15,,
Numberblocks,TV Show,2021,United Kingdom,106009.0,Numberblocks,11.065,8.3,,,,2017-01-23,,
Raja Rasoi Aur Anya Kahaniyan,TV Show,2014,India,101955.0,"Raja, Rasoi aur Anya Kahaniyaan",0.5523,7.3,,,,2014-01-01,,
Saved by the Bell,TV Show,1994,United States,4345.0,Saved by the Bell,11.5829,7.784,,,,1989-08-20,,
Schumacher,Movie,2021,Unknown,855823.0,Schumacher,1.8973,7.273,,,,2021-09-14,,
Stories by Rabindranath Tagore,TV Show,2015,India,67113.0,Stories by Rabindranath Tagore,1.7461,7.8,,,,2015-07-06,,
Too Hot To Handle: Latino,TV Show,2021,Unknown,131589.0,Too Hot to Handle: Latino,1.8306,7.224,,,,2021-09-15,,
A StoryBots Space Adventure,Movie,2021,Unknown,874104.0,A StoryBots Space Adventure,0.3823,2.0,,,,2021-11-09,,
Jack Whitehall: Travels with My Father,TV Show,2021,United Kingdom,74100.0,Jack Whitehall: Travels with My Father,1.2319,7.0,,,,2017-09-22,,
King of Boys,Movie,2018,Nigeria,570465.0,King of Boys,0.7269,6.4,,,,2018-10-26,,
The World's Most Amazing Vacation Rentals,TV Show,2021,Unknown,127723.0,The World's Most Amazing Vacation Rentals,0.7563,7.8,,,,2021-06-18,,
You vs. Wild: Out Cold,Movie,2021,Unknown,869589.0,You vs. Wild: Out Cold,0.3123,5.7,,,,2021-09-14,,
Yowamushi Pedal,TV Show,2013,Japan,61441.0,Yowamushi Pedal,9.8665,7.0,,,,2013-10-07,,
Little Singham - Black Shadow,Movie,2021,Unknown,874467.0,Little Singham - Black Shadow,0.0571,10.0,,,,2021-05-09,,
Tughlaq Durbar,Movie,2020,Unknown,620637.0,Tughlaq Durbar,0.4389,5.864,,,,2021-09-10,,
Tughlaq Durbar (Telugu),Movie,2021,Unknown,,,,,,,,,,
Firedrake the Silver Dragon,Movie,2021,Unknown,523366.0,Dragon Rider,4.6264,7.0,,,,2020-10-13,,
Kate,Movie,2021,United States,597891.0,Kate,4.6091,6.621,,,,2021-09-10,,
Lucifer,TV Show,2021,United States,63174.0,Lucifer,86.3942,8.434,,,,2016-01-25,,
Metal Shop Masters,TV Show,2021,Unknown,130969.0,Metal Shop Masters,0.476,5.8,,,,2021-09-10,,
Omo Ghetto: the Saga,Movie,2020,Nigeria,790682.0,Omo Ghetto: The Saga,0.2815,4.3,,,,2020-12-25,,
Pokémon Master Journeys: The Series,TV Show,2021,Unknown,60572.0,Pokémon,65.0725,7.965,,,,1997-04-01,,
Prey,Movie,2021,Unknown,766507.0,Prey,17.8641,7.661,,,,2022-08-02,,
Titipo Titipo,TV Show,2019,Unknown,87858.0,Titipo Titipo,0.5087,7.0,,,,2018-01-01,,
Blood Brothers: Malcolm X & Muhammad Ali,Movie,2021,Unknown,861604.0,Blood Brothers: Malcolm X & Muhammad Ali,0.6356,7.3,,,,2021-09-08,,
Mighty Raju,TV Show,2017,Unknown,90982.0,Mighty Raju,0.2913,2.0,,,,2015-02-18,,
Paradise Hills,Movie,2019,"Spain, United States",487083.0,Paradise Hills,2.7273,5.9,,,,2019-08-29,,
The Women and the Murderer,Movie,2021,France,866127.0,The Women and the Murderer,0.8045,6.188,,,,2021-09-09,,
