source_title,content_type,tmdb_id,title,popularity,vote_average,release_date
Dick Johnson Is Dead,Movie,653574,Dick Johnson Is Dead,0.547,7.1,2020-01-23
Blood & Water,TV Show,103411,Blood & Water,4.205,7.8,2020-05-20
Ganglands,TV Show,130523,Ganglands,3.279,7.138,2021-09-24
Jailbirds New Orleans,TV Show,134678,Jailbirds New Orleans,0.2593,5.6,2021-09-24
Kota Factory,TV Show,89113,Kota Factory,3.1835,8.022,2019-04-16
Midnight Mass,TV Show,97400,Midnight Mass,7.4819,7.533,2021-09-24
My Little Pony: A New Generation,Movie,597316,My Little Pony: A New Generation,2.0865,7.7,2021-09-22
Sankofa,Movie,68351,Sankofa,0.8724,5.8,1993-05-28
The Great British Baking Show,TV Show,34549,The Great British Bake Off,3.9103,7.5,2010-08-17
The Starling,Movie,468225,The Starling,1.3251,6.915,2021-09-17
"Vendetta: Truth, Lies and The Mafia",TV Show,132013,"Vendetta: Truth, Lies and The Mafia",0.4117,6.9,2021-09-24
Bangkok Breaking,TV Show,132158,Bangkok Breaking,1.695,6.7,2021-09-23
Je Suis Karl,Movie,683641,Je suis Karl,0.5096,5.3,2021-09-16
Confessions of an Invisible Girl,Movie,786705,Confessions of an Invisible Girl,1.1148,6.628,2021-09-22
Crime Stories: India Detectives,TV Show,132583,Crime Stories: India Detectives,0.4576,6.6,2021-09-22
Dear White People,TV Show,70767,Dear White People,5.4815,5.9,2017-04-28
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,683398,The Most Dangerous Man in Europe: Otto Skorzeny's After War,0.6451,6.7,2020-01-29
Falsa identidad,TV Show,82809,False Identity,4.573,7.572,2018-10-03
Intrusion,Movie,785752,Intrusion,1.9508,5.944,2021-09-22
Jaguar,TV Show,127425,Jaguar,1.7827,7.148,2021-09-22
Monsters Inside: The 24 Faces of Billy Milligan,TV Show,132105,Monsters Inside: The 24 Faces of Billy Milligan,1.2922,6.975,2021-09-22
Resurrection: Ertugrul,TV Show,66017,Resurrection: Ertugrul,8.0852,7.85,2014-12-11
Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,876576,Go! Go! Cory Carson: Chrissy Takes the Wheel,0.4946,5.9,2021-09-21
Jeans,Movie,393295,Jeans,0.2509,0.0,2001-06-24
Love on the Spectrum,TV Show,200731,Love on the Spectrum,5.9532,7.852,2022-05-18
Minsara Kanavu,Movie,79328,Minsara Kanavu,1.0215,6.7,1997-01-14
Grown Ups,Movie,38365,Grown Ups,12.6944,6.397,2010-06-24
Dark Skies,Movie,145135,Dark Skies,2.6965,6.335,2013-02-21
Paranoia,Movie,115348,Paranoia,2.4782,5.728,2013-08-14
Ankahi Kahaniya,Movie,862701,Ankahi Kahaniya,0.8332,5.8,2021-09-17
Chicago Party Aunt,TV Show,130077,Chicago Party Aunt,2.4188,6.0,2021-09-17
Sex Education,TV Show,81356,Sex Education,28.3807,8.21,2019-01-11
Squid Game,TV Show,93405,Squid Game,57.4489,7.856,2021-09-17
Tayo and Little Wizards,TV Show,130673,Tayo and Little Wizards,0.2914,1.0,2020-12-10
The Father Who Moves Mountains,Movie,840427,The Father Who Moves Mountains,0.7719,5.8,2021-07-23
The Stronghold,Movie,637534,The Stronghold,2.5977,7.367,2021-08-18
Angry Birds,TV Show,46848,Angry Birds Toons,3.1989,6.5,2013-03-16
Birth of the Dragon,Movie,408266,Birth of the Dragon,2.0352,5.806,2017-08-25
Chhota Bheem,TV Show,32035,Little Bheem,0.9807,6.375,2008-12-31
